Normalized Note,Count
out of stock,86
customer cancelled,22
customer cancel,17
cnr,10
risky customer,8
low ratio,6
return issue,3
duplicate,2
"risky customer 
out of stock",1
1 pcs denims shirt exchange m size,1
new order place,1
anis na nimu na jah,1
"out of stock

duplicate",1
"cnr, fake",1
"out of stock, customer cancelled",1
"last parcel returned, cnr",1
ami apnader regular customer.. amar kono discount or coupon pabo ki?,1
"cnr, out of stock",1
duplicate order,1
out of stock - customer cancelled,1
out of stock - reordered,1
customer cancel. দয়া করে শার্টগুলা চেক করে দিবেন যেন ছেড়া ফাটা বা কোন ত্রুটি না থাকে।ধন্যবাদ।,1
buy one get one,1
double. চিতলমারি কচুড়িয়া,1
fake order,1
"প্রডাক্ট চেক করে দিবেন, আগের অর্ডারের একটা শার্টে ময়লা ছিল।

cnr",1
"cancel= stock issue.
please double qc the product",1
new customer - cnr,1
"ivory brown windowpane flannel shirt - 2xl
sku: 102-0302-053 -  out of stock

cnr",1
"out of stock
low ratio
cnr",1
low ratio - cnr,1
একটা শপিং ব্যাগ দিয়েন।,1
not in stock.,1
